Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
San Bernardino,San Bernardino County CSA 70 Cedar Glen,PLF Debt,Parcel Tax: $84 for 10 years.,"Water Supply, Storage, Distribution",Not available,90.1,9.9,Pass,two-thirds,2009,Local,8/28/2009 0:00
State of California,State of California,General Obligation Bond,"$5,388,000,000 ","Water Supply, Storage, Distribution",Prop 84,53.8,46.2,Pass,Majority,2006,General,11/7/2006 0:00
Kern,North Edwards Water District,PLF Debt,Parcel Tax: $50 Per Parcel,"Water Supply, Storage, Distribution",N,44.7,55.3,Fail,two-thirds,2006,General,11/7/2006 0:00
Marin,Muir Beach Community Services District,PLF Debt,"Parcel  Tax: $3,250 Per Parcel for Improved Commercially Zoned Property, $300 Per Separate Habitable Structure on Parcels Containing Residential Property and $300 Per Parcel","Water Supply, Storage, Distribution",C,88.4,11.6,Pass,two-thirds,2005,Special,11/8/2005 0:00
Los Angeles,Los Angeles,General Obligation Bond,"$500,000,000 ","Water Supply, Storage, Distribution",O,76.3,23.7,Pass,two-thirds,2004,General,11/2/2004 0:00
San Diego,Rainbow Municipal Water District,Revenue Bond,"$40,900,000 ","Water Supply, Storage, Distribution",O,28.1,71.9,Fail,Majority,2004,Primary,3/2/2004 0:00
San Bernardino,Bighorn-Desert View Water Agency,PLF Debt,Parcel Tax: $13.6811Per Acre,"Water Supply, Storage, Distribution",B,47.8,52.2,Fail,two-thirds,2004,Primary,3/2/2004 0:00
San Francisco,San Francisco City & County,Revenue Bond,"$1,628,000,000 ","Water Supply, Storage, Distribution",Prop A,53.3,46.7,Pass,Majority,2002,General,11/5/2002 0:00
State of California,State of California,General Obligation Bond,"3,345,000,000.00","Water Supply, Storage, Distribution",Prop 50,55.4,44.6,Pass,Majority,2002,General,11/5/2002 0:00
Lassen,Spalding Community Services District,PLF Debt,Parcel Tax: Impose Special Property Tax,"Water Supply, Storage, Distribution",F,44.7,55.3,Fail,two-thirds,2002,General,11/5/2002 0:00
San Mateo,Montara Sanitary District,General Obligation Bond,"$19,000,000 ","Water Supply, Storage, Distribution",V,80.66,19.34,Pass,two-thirds,2001,Local,11/6/2001 0:00
Marin,Muir Beach Community Services District,PLF Debt,"Special Tax: $3250 per improved parcel, $300 per separate habitable structure containing residential property and $300 per parcel on all other parcels.","Water Supply, Storage, Distribution",J,76.11,23.89,Pass,two-thirds,2001,Local,11/6/2001 0:00
Marin,Muir Beach Community Services District,PLF Debt,Water Tax: not to exceed 25% of the monthly billing for water service.,"Water Supply, Storage, Distribution",K,74.34,25.66,Pass,Majority,2001,Local,11/6/2001 0:00
State of California,State of California,General Obligation Bond,"$1,970,000 ","Water Supply, Storage, Distribution",PROP 13,64.8,35.2,Pass,Majority,2000,Primary,3/7/2000 0:00
State of California,State of California,General Obligation Bond,"$220,000,000 ","Water Supply, Storage, Distribution",PROP 15,46.5,53.5,Fail,Majority,2000,Primary,3/7/2000 0:00
Siskiyou,Lake Shastina Community Service District,PLF Debt,$40 Per Parcel Special Assessment Advisory Vote,"Water Supply, Storage, Distribution",C,71.9,28.1,Pass,two-thirds,2000,Primary,3/7/2000 0:00
Multiple,Pajaro Valley Water Management Agency,PLF Debt,Increase Aug Fee to $95,"Water Supply, Storage, Distribution",L,22.1,77.9,Fail,Majority,1998,General,11/3/1998 0:00
Kern,Bear Valley Community Services District,PLF Debt,$90 Per Parcel,"Water Supply, Storage, Distribution",A,61.3,38.7,Fail,two-thirds,1998,Primary,6/2/1998 0:00
State of California,State of California,General Obligation Bond,"$995,000,000 ","Water Supply, Storage, Distribution",204,62.9,37.1,Pass,two-thirds,1996,General,11/5/1996 0:00
Sonoma,Sweetwater Springs Water District,General Obligation Bond,"$2,000,000 ","Water Supply, Storage, Distribution",J,81.9,18.1,Pass,two-thirds,1990,General,11/6/1990 0:00
Marin,Muir Beach Community Services District,PLF Debt,$1000 commercial/ $150 residental for 5 years,"Water Supply, Storage, Distribution",E,86.2,13.8,Pass,two-thirds,1990,General,11/6/1990 0:00
State of California,State of California,General Obligation Bond,"$75,000,000 ","Water Supply, Storage, Distribution",81,72,28,Pass,Majority,1988,General,11/8/1988 0:00
State of California,State of California,General Obligation Bond,"$60,000,000.00 ","Water Supply, Storage, Distribution",82,62,38,Pass,Majority,1988,General,11/8/1988 0:00
State of California,State of California,General Obligation Bond,"$65,000.00 ","Water Supply, Storage, Distribution",83,64,36,Pass,Majority,1988,General,11/8/1988 0:00
Ventura,Oxnard,PLF Debt,Wastewater Rates: Repeal the city's increased wastewater rates adopted in January 2016 and return to the lower rates previously in effect.,"Wastewater Collection, Treatment",M,72.19,27.81,Pass,Majority,2016,General,11/8/2016 0:00
Placer,Colfax,PLF Debt,"Marijuana Tax: Repeal the ban on medical marijuana dispensaries, establish a 15% tax on marijuana/marijuana products for reducing sewer charges.","Wastewater Collection, Treatment",H,63.85,36.15,Fail,Two-thirds,2016,General,11/8/2016 0:00
San Bernardino,Yucca Valley,PLF Debt,Sales Tax: Enact additional 0.5% sales tax for 10 years increasing total tax rate to 8.5% for sewer utility services.,"Wastewater Collection, Treatment",Z,81.24,18.76,Pass,two-thirds,2016,General,11/8/2016 0:00
El Dorado,Placerville,Sales Tax Revenue Bond,Sales Tax: Adopt an Add-on Sales Tax of 1/4% for 30 Yrs,"Wastewater Collection, Treatment",H,75,25,Pass,two-thirds,2010,General,11/2/2010 0:00
Lassen,Stones-Bengard Community Services District,PLF Debt,$100 Per Parcel for 3 Yrs,"Wastewater Collection, Treatment",O,57.1,42.9,Fail,two-thirds,1998,Primary,6/2/1998 0:00
Lake,Hidden Valley Lake Community Services District,PLF Debt,Parcel Tax: Extend existing $20 parcel tax per lot for 5 years.,"Wastewater Collection, Treatment",C,50,50,Fail,two-thirds,1988,General,11/8/1988 0:00
Sonoma,Sebastopol,General Obligation Bond,"$2,500,000 ","Wastewater Collection, Treatment",D,72,28,Pass,two-thirds,1986,General,11/4/1986 0:00
Los Angeles,Long Beach,PLF Debt,"Transient Occupancy Tax: increase rate from 6% to 7%, paid for by hotel/motel guests, generating approximately $2.8 million dollars annually, until ended by voters",Theatre/Arts/Museums,B,59.21,40.79,Pass,Majority,2020,Primary,3/3/2020 0:00
Siskiyou,Yreka,Sales Tax Revenue Bond,Sales Tax: Increase sales tax by 1/4% for 6 years.,Theatre/Arts/Museums,I,38.8,61.2,Fail,two-thirds,2014,General,11/4/2014 0:00
Mono,Mammoth Lakes,PLF Debt,"Utility Users Tax: No Increase to the Current Rate of 2.5%, Extend the Tax",Theatre/Arts/Museums,U,67.5,32.5,Pass,two-thirds,2010,Primary,6/8/2010 0:00
Calaveras,Appaloosa Road Community Services District,PLF Debt,"Parcel Tax: $100/parcel apply to the 20 parcels on Pinto and Morgan roads, raising an additional $2,000 annually",Street Construction and Improvements,D,87.69,12.31,Pass,two-thirds,2021,Local,5/4/2021 0:00
Marin,Ridgewood Avenue Permanent Road Division,PLF Debt,"Parcel Tax: annual parcel tax of $1,620 per parcel for ten years, and an annual parcel tax of $200 per parcel thereafter, generating an estimated $35,640 per year for the first ten years, and $4,400 per year thereafter",Street Construction and Improvements,B,81.82,18.18,Pass,two-thirds,2021,Local,3/2/2021 0:00
Sonoma,Sonoma County,PLF Debt,"Sales Tax: extension of a 0.25% sales tax for 20 years, generating an estimated $26 million per year",Street Construction and Improvements,DD,70.95,29.05,Pass,two-thirds,2020,General,11/3/2020 0:00
Nevada,Nevada City,PLF Debt,"Sales Tax: extending the 0.5% sales tax generating an estimated $550,000 per year",Street Construction and Improvements,M,87.89,12.11,Pass,two-thirds,2020,General,11/3/2020 0:00
San Diego,Rincon Ranch Community Services District,PLF Debt,Parcel Tax: $6 per acre plus $170 per parcel,Street Construction and Improvements,Z,60.55,39.45,Fail,two-thirds,2020,General,11/3/2020 0:00
El Dorado,Hickok Road Community Services District,PLF Debt,"Parcel Tax: increase from $200 to $400 per parcel, thereby generating a maximum of $24,800 per year",Street Construction and Improvements,N,52.87,47.13,Fail,two-thirds,2020,General,11/3/2020 0:00
El Dorado,Mortara Circle Community Services District,PLF Debt,"Parcel Tax: increase from $350 to $600 per parcel, thereby generating an estimated $18,600 per year",Street Construction and Improvements,Q,23.33,76.67,Fail,two-thirds,2020,General,11/3/2020 0:00
Nevada,Byers Lane Community Service District,PLF Debt,"Parcel Tax: $300 per parcel to replace an existing parcel tax, thereby generating an estimated $19,200 per year",Street Construction and Improvements,O,55,45,Fail,two-thirds,2020,General,11/3/2020 0:00
Ventura,Ojai,PLF Debt,Transient Occupancy Tax: increase from 10% to 15%,Street Construction and Improvements,C,83.09,16.91,Pass,two-thirds,2020,Primary,3/3/2020 0:00
El Dorado,El Dorado County CSA No 9 (Fernwood Cothrin Ranch Road),PLF Debt,Parcel Tax: $450.00 on each parcel of land for an unlimited duration,Street Construction and Improvements,K,59.31,40.69,Fail,two-thirds,2020,Primary,3/3/2020 0:00
El Dorado,El Dorado County CSA No 9 (Gilmore Vista),PLF Debt,Parcel Tax: $270 on each improved parcel of land and $120 on each unimproved parcel of land for an unlimited duration,Street Construction and Improvements,J,72.34,27.66,Pass,two-thirds,2020,Primary,3/3/2020 0:00
El Dorado,El Dorado County CSA No 9 (Lynx Trail),PLF Debt,Parcel Tax: $500.00 on each parcel of real property for an unlimited duration,Street Construction and Improvements,L,46.97,53.03,Fail,two-thirds,2020,Primary,3/3/2020 0:00
Marin,Ridgewood Avenue Permanent Road Division,PLF Debt,"Parcel Tax: $1,281 per parcel for 10 years",Street Construction and Improvements,J,62.5,37.5,Fail,two-thirds,2020,Primary,3/3/2020 0:00
Marin,Inverness Permanent Road Division No. 2,PLF Debt,"Parcel Tax: Levy a tax of $1,147/ improved parcel annually for 10 yr.s and $708/unimproved parcel for 10 yrs. and $400 annually thereafter with a provision allowing for an annual increase based on State's Consumer Price Index.",Street Construction and Improvements,C,95.24,4.76,Pass,two-thirds,2019,Local,8/27/2019 0:00
Calaveras,Appaloosa Road Community Services District,PLF Debt,Parcel Tax: Increase tax from $75/yr. to $175/yr. for taxable parcels in the Appaloosa Zone to fund road improvements and to adjust for inflation.,Street Construction and Improvements,B,82.14,17.86,Pass,two-thirds,2019,Local,5/7/2019 0:00
Marin,Marin County,PLF Debt,Sales Tax: Continue existing tax of .5% for 30 yrs.,Street Construction and Improvements,AA,76.65,23.35,Pass,two-thirds,2018,General,11/6/2018 0:00
Humboldt,Eureka,PLF Debt,Sales Tax: Increase city's sales tax by .25%.,Street Construction and Improvements,I,64.25,35.75,Fail,Majority,2018,General,11/6/2018 0:00
Solano,Dixon,PLF Debt,Sales Tax: Impose tax of 1/2% for 10 yrs.,Street Construction and Improvements,n,37.62,62.38,Fail,two-thirds,2018,General,11/6/2018 0:00
Multiple,State of California,PLF Debt,Transportation Tax: Repeals a 2017 transportation law's taxes and fees designated for road repairs and public transportation.,Street Construction and Improvements,Prop. 6,43.2,56.8,Fail,Majority,2018,General,11/6/2018 0:00
El Dorado,Cameron Park Airport District,PLF Debt,Parcel Tax: Levy tax at annual rate of $600.airpark parcel.,Street Construction and Improvements,L,57.14,42.86,Fail,two-thirds,2018,General,11/6/2018 0:00
San Diego,Rincon Ranch Community Services District,PLF Debt,"Parcel Tax: Levy a special tax override on taxable real property for repair and resurface of roads maintained by the District; tax not to exceed $6.92/acre, plus $199.50/parcel of land per year.",Street Construction and Improvements,RR,60.53,39.47,Fail,two-thirds,2018,General,11/6/2018 0:00
El Dorado,Cameron Estates Community Services District,PLF Debt,Parcel Tax: Increase the tax rate from $250 to $595/parcel per yr.,Street Construction and Improvements,H,75.57,24.43,Pass,two-thirds,2018,General,11/6/2018 0:00
El Dorado,Hickok Road Community Services District,PLF Debt,Parcel Tax: Increase annual Special Tax from $200 to $400/parcel per year.,Street Construction and Improvements,K,61.43,38.57,Fail,two-thirds,2018,General,11/6/2018 0:00
San Bernardino,County Service Area 68 Zone A,PLF Debt,"Parcel Tax:  Enact annual tax of $147/parcel for first 5 years, which would decrease to $117/parcel in the 6th year.",Street Construction and Improvements,I,75.31,24.69,Pass,two-thirds,2017,Local,7/11/2017 0:00
San Diego,Permanent Road Division Zone No. 117,PLF Debt,"Parcel Tax: Levying tax up to $1,400/parcel for the first 10 years, and up to $500/parcel thereafter, to provide road maintenance services.",Street Construction and Improvements,A,74.03,25.97,Pass,two-thirds,2017,Local,6/30/2017 0:00
El Dorado,Marble Mountain Community Services District,PLF Debt,Parcel Tax: Levy tax of up to $400/parcel for road maintenance.,Street Construction and Improvements,A,64.29,35.71,Fail,two-thirds,2017,Local,6/6/2017 0:00
Calaveras,Copper Cove Rocky Road Community Services District,PLF Debt,Parcel Tax: Replace existing tax of $350/residential lot with a tax of $450/residential lot to maintain district roads.,Street Construction and Improvements,D,36.55,63.45,Fail,two-thirds,2017,Local,5/2/2017 0:00
Nevada,Mystic Mines Community Services District,PLF Debt,Parcel Tax: Impose annual tax of $200/parcel through 2021-2022 & $250/parcel after 2022 for road maintenance and improvement.,Street Construction and Improvements,D,84.52,15.48,Pass,two-thirds,2017,Local,3/7/2017 0:00
Lake,Clearlake,PLF Debt,Sales Tax: Impose additional 1% tax to fund road maintenance and improvement.,Street Construction and Improvements,V,68.77,31.23,Pass,Two-thirds,2016,General,11/8/2016 0:00
Contra Costa,Martinez,PLF Debt,Sales Tax: Increase tax by an additional 0.5% for 15 years to fund road projects.,Street Construction and Improvements,D,71.96,28.04,Pass,two-thirds,2016,General,11/8/2016 0:00
Placer,Placer County,PLF Debt,"Sales Tax: Establish additional 0.5% tax, limited to 30 years, for highway/road modifications/maintenance.",Street Construction and Improvements,M,63.8,36.2,Fail,Two-thirds,2016,General,11/8/2016 0:00
San Diego,Rincon Ranch Community Services District,PLF Debt,Parcel Tax: Levy tax $5.20/acre plus $150/parcel for road maintenance.,Street Construction and Improvements,KK,55,45,Fail,two-thirds,2016,General,11/8/2016 0:00
Calaveras,Middle River Community Service District,PLF Debt,"Parcel Tax: Increase parcel tax on developed parcels $100 - $200/parcel per year, and increase the parcel tax on undeveloped parcels $75 - $100/parcel per year.",Street Construction and Improvements,E,51.02,48.98,Fail,two-thirds,2016,General,11/8/2016 0:00
El Dorado,Cameron Estates Community Services District,PLF Debt,Parcel Tax: Increase the district's parcel tax by $150/parcel per year totaling $400 per year.,Street Construction and Improvements,K,59.09,40.91,Fail,two-thirds,2016,General,11/8/2016 0:00
El Dorado,Hickok Road Community Services District,PLF Debt,"Parcel Tax: Increase parcel tax by $100/parcel per year from $200 to $300 for maintaining, upgrading, and improving roads.",Street Construction and Improvements,M,42.11,57.89,Fail,two-thirds,2016,General,11/8/2016 0:00
El Dorado,Marble Mountain Community Services District,PLF Debt,"Parcel Tax: Increase the district's parcel tax by $300/parcel per year, from $100 to $400.",Street Construction and Improvements,N,65.45,34.55,Fail,two-thirds,2016,General,11/8/2016 0:00
Sacramento,Cosumnes Community Services District,PLF Debt,Parcel Tax: Increase parcel tax to $250 per year/ per parcel.,Street Construction and Improvements,D,58.76,41.24,Fail,two-thirds,2015,Local,11/3/2015 0:00
Stanislaus,Turlock,Sales Tax Revenue Bond,Sales Tax: Establish 1/2% sales tax for 7 years.,Street Construction and Improvements,B,60.8,39.2,Fail,two-thirds,2014,General,11/4/2014 0:00
San Francisco,San Francisco City & County,General Obligation Bond,"$500,000,000 ",Street Construction and Improvements,Prop A,71.9,28.1,Pass,two-thirds,2014,General,11/4/2014 0:00
San Luis Obispo,Atascadero,Sales Tax Revenue Bond,Sales Tax: Increase tax 1/2% from 7.5% to 8% for 12 years.,Street Construction and Improvements,F-14,59.1,40.9,Fail,two-thirds,2014,General,11/4/2014 0:00
El Dorado,Cameron Park Community Services District,PLF Debt,"Parcel Tax: Levy tax of $100/year per parcel over and above the current rate, not to exceed $350/parcel per year.",Street Construction and Improvements,D,63.7,36.3,Fail,two-thirds,2014,General,11/4/2014 0:00
San Luis Obispo,Grover Beach,General Obligation Bond,"$48,000,000 ",Street Construction and Improvements,K-14,68,32,Pass,two-thirds,2014,General,11/4/2014 0:00
Santa Clara,El Matador Road Maintenance District,PLF Debt,"Parcel Tax: Levy annual parcel tax of $750 for the first 3 years, $350 for the 4th year, and then increases by $10 in years 5 through 32 beginning 7/1/2015.",Street Construction and Improvements,R,85.8,14.2,Pass,two-thirds,2014,General,11/4/2014 0:00
San Diego,Rincon Ranch Community Services District,PLF Debt,"Parcel Tax: Levy an annual special tax override not to exceed $5.20/acre, plus $150/parcel with a provision for an annual increase not to exceed the annual engineering news record for the prior year.",Street Construction and Improvements,S,64.3,35.7,Fail,two-thirds,2014,General,11/4/2014 0:00
Contra Costa,Orinda,General Obligation Bond,"$20,000,000 ",Street Construction and Improvements,J,75.5,24.5,Pass,two-thirds,2014,Primary,6/3/2014 0:00
San Bernardino,Grand Terrace,PLF Debt,Utility Users Tax: 5% utility tax for 6 years.,Street Construction and Improvements,C,39.42,60.58,Fail,Majority,2013,Local,11/5/2013 0:00
Santa Clara,Sunnyvale,PLF Debt,Transient Occupancy Tax: Increase TOT from 9.5% to 10.5%.,Street Construction and Improvements,B,68.58,31.42,Pass,Majority,2013,Local,11/5/2013 0:00
San Bernardino,San Bernardino County CSA 68 (Valley of the Moon),PLF Debt,Parcel Tax: Levy a $125 per parcel per year with a 2.5% cost of living increase.,Street Construction and Improvements,A,59.32,40.68,Fail,two-thirds,2013,Local,6/18/2013 0:00
Alameda,Berkeley,General Obligation Bond,"$30,000,000 ",Street Construction and Improvements,M,73.3,26.7,Pass,two-thirds,2012,General,11/6/2012 0:00
Lake,Clearlake,Sales Tax Revenue Bond,Sales Tax: Impose a 1› Sales Tax,Street Construction and Improvements,G,61.7,38.3,Fail,two-thirds,2012,General,11/6/2012 0:00
Los Angeles,Los Angeles County,Sales Tax Revenue Bond,Sales Tax: Continue Voter-Approved 1/2› Traffic Relief Sales Tax for another 30 Yrs or Until Voters Decide to End It,Street Construction and Improvements,J,66.1,33.9,Fail,two-thirds,2012,General,11/6/2012 0:00
Napa,Napa County,Sales Tax Revenue Bond,Sales Tax: Increase Tax by 1/2› for 25 Yrs,Street Construction and Improvements,T,74.8,25.2,Pass,two-thirds,2012,General,11/6/2012 0:00
Humboldt,Rio Dell,General Obligation Bond,"$2,000,000 ",Street Construction and Improvements,J,55.6,44.4,Fail,two-thirds,2012,General,11/6/2012 0:00
Calaveras,Circle XX Community Service District,PLF Debt,Parcel Tax: Increase Tax from $300 to $400 Per Property for the Next 10 Yrs,Street Construction and Improvements,D,72.9,27.1,Pass,two-thirds,2012,General,11/6/2012 0:00
San Mateo,Portola Valley,PLF Debt,Parcel Tax: Increase Parcel Tax to $950,Street Construction and Improvements,V,86.7,13.3,Pass,two-thirds,2012,Primary,6/5/2012 0:00
Humboldt,Rio Dell,General Obligation Bond,"$2,000,000 ",Street Construction and Improvements,X,62.7,37.3,Fail,two-thirds,2012,Primary,6/5/2012 0:00
San Francisco,San Francisco City & County,General Obligation Bond,"$248,000,000 ",Street Construction and Improvements,Prop B,68.02,31.98,Pass,two-thirds,2011,Local,11/8/2011 0:00
Contra Costa,Lafayette,PLF Debt,Parcel Tax: Levy a $89 per year for 10 years.,Street Construction and Improvements,G,57.63,42.37,Fail,two-thirds,2011,Local,11/8/2011 0:00
San Francisco,San Francisco City & County,PLF Debt,Vehicle Registration Fee: Authorize a $10 Fee on the Registration of Vehicles,Street Construction and Improvements,Prop AA,58.8,41.2,Pass,Majority,2010,General,11/2/2010 0:00
El Dorado,Cameron Park Community Services District,PLF Debt,"Parcel Tax: Increase Annual Residential Parcel Tax by $125 Over the Current Assessment of $250.00 (Transient Occupancy Tax: $375), and Levy Annual Commercial Parcel Tax of $1,125",Street Construction and Improvements,C,55.6,44.4,Fail,two-thirds,2010,General,11/2/2010 0:00
El Dorado,Showcase Ranches Community Services District,PLF Debt,Parcel Tax: $125 a year.,Street Construction and Improvements,A,37.6,62.4,Fail,two-thirds,2009,Local,5/5/2009 0:00
Los Angeles,Long Beach,PLF Debt,"Parcel Tax: Repay Bonds Which the City Intends to Issue, Levy an Annual Parcel Tax of $120 Per Residential Unit to Be Adjusted Annually for Inflation",Street Construction and Improvements,I,52.9,47.1,Fail,two-thirds,2008,General,11/4/2008 0:00
Kern,Ridgecrest,Sales Tax Revenue Bond,Sales Tax: Increase Tax by 3/4% for 10 Yrs,Street Construction and Improvements,N,56.5,43.5,Fail,two-thirds,2008,General,11/4/2008 0:00
Santa Barbara,Santa Barbara County,Sales Tax Revenue Bond,Sales Tax: Extend the Existing 1/2› Sales Tax Authorization for 30 Yrs Beginning 4/1/2010 to 3/31/2040,Street Construction and Improvements,A2008,79.2,20.9,Pass,two-thirds,2008,General,11/4/2008 0:00
El Dorado,Cameron Park Community Services District,PLF Debt,"Parcel Tax: Levy Parcel Tax of $500/Yr Per Residential Parcel and a Maximum of $1,000/ Yr, Per Commercial Parcel",Street Construction and Improvements,H,57.3,42.7,Fail,two-thirds,2008,General,11/4/2008 0:00
Stanislaus,Keyes Community Services District,PLF Debt,"Parcel Tax: Levy a $20 Parcel Tax for 3 Yrs, Followed by an Increase to $25 for Each Parcel After the Initial 3 Yrs",Street Construction and Improvements,P,55.3,44.7,Fail,two-thirds,2008,Primary,6/3/2008 0:00
Lake,Butler-Kings Community Services District,PLF Debt,Parcel Tax: Levy a Parcel of $45 Per Parcel,Street Construction and Improvements,A,77.5,22.5,Pass,two-thirds,2008,Primary,6/3/2008 0:00
Contra Costa,El Cerrito,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2› Sales Tax Used Exclusively for Street Improvements,Street Construction and Improvements,A,71.1,28.9,Pass,two-thirds,2008,Primary,2/8/2008 0:00
Fresno,Fresno County,Sales Tax Revenue Bond,Sales Tax: Continue Current 1/2› Sales Tax for 20 Yrs,Street Construction and Improvements,C,77.7,22.3,Pass,two-thirds,2006,General,11/7/2006 0:00
Nevada,Grass Valley,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2› Sales Tax for 20 Yrs,Street Construction and Improvements,T,57.4,42.6,Fail,two-thirds,2006,General,11/7/2006 0:00
Kern,Kern County,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2› Tax for 20 Yrs,Street Construction and Improvements,I,56.4,43.6,Fail,two-thirds,2006,General,11/7/2006 0:00
Madera,Madera County,Sales Tax Revenue Bond,Sales Tax: Renew 1/2› Sales Tax for 20 Yrs,Street Construction and Improvements,T,73.1,26.9,Pass,two-thirds,2006,General,11/7/2006 0:00
Merced,Merced County,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2› Tax to Expire In 30 Yrs,Street Construction and Improvements,G,60.9,39.1,Fail,two-thirds,2006,General,11/7/2006 0:00
San Joaquin,San Joaquin County,Sales Tax Revenue Bond,Sales Tax: Continue the Existing 1/2› Sales Tax for No Longer Than 30 Yrs to Relieve Traffic Congestion,Street Construction and Improvements,K,77.9,22.1,Pass,two-thirds,2006,General,11/7/2006 0:00
Orange,Orange County,Sales Tax Revenue Bond,Sales Tax: Continue the Existing 1% Retail Transaction and Use Tax for 30 Yrs from the Expiration of the Current Measure M on 4/1/2011,Street Construction and Improvements,M,69.7,30.3,Pass,two-thirds,2006,General,11/7/2006 0:00
Santa Barbara,Santa Barbara County,Sales Tax Revenue Bond,Sales Tax: Extend for 30 Yrs the Existing 1/2› Sales Tax and Increase It by 1/4›,Street Construction and Improvements,D2006,54.5,45.5,Fail,two-thirds,2006,General,11/7/2006 0:00
Stanislaus,Stanislaus County,Sales Tax Revenue Bond,"Sales Tax: Impose a 1/2› Transportation Sales Tax for No Longer Than 30 Yrs to Relieve Traffic Congestion, Improve Safety",Street Construction and Improvements,K,57.9,42.1,Fail,two-thirds,2006,General,11/7/2006 0:00
Marin,Mill Valley,PLF Debt,"Parcel Tax: $195 Per Occupied Dwelling of Single Family Residential Unit, $97 for Residential Second Unit",Street Construction and Improvements,E,76.2,23.8,Pass,two-thirds,2006,General,11/7/2006 0:00
Nevada,Nevada City,Sales Tax Revenue Bond,Sales Tax: Increase Tax by 1/2›,Street Construction and Improvements,S,80.8,19.2,Pass,two-thirds,2006,General,11/7/2006 0:00
Contra Costa,Orinda,General Obligation Bond,"$59,100,000 ",Street Construction and Improvements,Q,64.4,35.6,Fail,two-thirds,2006,General,11/7/2006 0:00
